iter	RMSE
217	19.85821871
218	19.8567851
219	19.85542462
220	19.85456677
221	19.85391937
222	19.85113136
223	19.84546467
224	19.83815741
225	19.83732271
226	19.8303338
227	19.8225077
228	19.81982272
229	19.81930381
230	19.81858761
231	19.80804426
232	19.80733289
233	19.80595614
234	19.80181606
235	19.79300115
236	19.79237674
237	19.7800464
238	19.77923131
239	19.77298294
240	19.76606785
241	19.75770556
242	19.75672569
243	19.74819889
244	19.74263683
245	19.73727997
246	19.73069462
247	19.72401746
248	19.7169301
249	19.71642313
250	19.71430665
251	19.71368967
252	19.70702476
253	19.70639446
254	19.7021936
255	19.70074544
256	19.69977083
257	19.69938229
258	19.69193173
259	19.68689279
260	19.68635701
261	19.68634885
262	19.68545706
263	19.68333487
264	19.68333355
265	19.68297377
266	19.68137323
267	19.68078412
268	19.67886176
269	19.67758717
270	19.67666411
271	19.67626339
272	19.67378106
273	19.67191118
274	19.66326241
275	19.66325957
276	19.65318705
277	19.65238566
278	19.64953065
279	19.6405018
280	19.64022847
281	19.63189562
282	19.63071344
283	19.62624014
284	19.62402504
285	19.62321636
286	19.61616252
287	19.61551513
288	19.61436646
289	19.60691802
290	19.60545089
291	19.60236303
292	19.59384782
293	19.58922799
294	19.58878865
295	19.58843466
296	19.58531139
297	19.58186082
298	19.58100607
299	19.57525401
300	19.57465218
301	19.56630431
302	19.56630217
303	19.56085473
304	19.56084742
305	19.55644797
306	19.55610348
307	19.55467276
308	19.54423459
309	19.54356453
310	19.54327495
311	19.54267557
312	19.53617533
313	19.52993195
314	19.52992185
315	19.52901829
316	19.52071483
317	19.5199382
318	19.51352744
319	19.51258011
320	19.51040926
321	19.51014561
322	19.50545616
323	19.50545461
324	19.49946638
325	19.499037
326	19.497185
327	19.49572215
328	19.49502296
329	19.4915258
330	19.49147283
331	19.48682998
332	19.48670267
333	19.48238534
334	19.48202446
335	19.47761234
336	19.47558256
337	19.47533964
338	19.47507328
339	19.47208576
340	19.4717889
341	19.46857619
342	19.46842255
343	19.46700011
344	19.46280179
345	19.4565473
346	19.45633201
347	19.44879137
348	19.44357394
349	19.4386399
350	19.43822455
351	19.43189193
352	19.43051399
353	19.42029932
354	19.41941201
355	19.41594947
356	19.40690495
357	19.40406759
358	19.40382803
359	19.40366889
360	19.403487
361	19.40348435
362	19.39837305
363	19.3965798
364	19.39141841
365	19.38920854
366	19.38481646
367	19.38132186
368	19.37720237
369	19.37684928
370	19.37463249
371	19.3696118
372	19.36951968
373	19.36544539
374	19.36469442
375	19.36224952
376	19.36198401
377	19.36057485
378	19.35981037
379	19.35571018
380	19.35019355
381	19.34940896
382	19.34940808
383	19.34908695
384	19.34861279
385	19.34791293
386	19.34183923
387	19.33813737
388	19.33341708
389	19.3298379
390	19.32268593
391	19.32262367
392	19.32256466
393	19.32018467
394	19.31959765
395	19.31540244
396	19.31432379
397	19.31407338
398	19.30824122
399	19.30294191
400	19.29934512
401	19.29530903
402	19.28917333
403	19.2844789
404	19.28447813
405	19.28360421
406	19.27939432
407	19.27259037
408	19.26878269
409	19.26853931
410	19.26820323
411	19.26568346
412	19.2649618
413	19.26496019
414	19.26431687
415	19.25767301
416	19.25198698
417	19.24876142
418	19.24816251
419	19.24794961
420	19.244985
421	19.24466574
422	19.2445344
423	19.24387596
424	19.2425219
425	19.24215793
426	19.23639733
427	19.23206151
428	19.2315471
429	19.23097461
430	19.2247369
431	19.2208453
432	19.22058286
433	19.22023535
434	19.21632957
435	19.2161013
436	19.21465949
437	19.2144022
438	19.20957264
439	19.20592195
440	19.20113575
441	19.19749468
442	19.19208804
443	19.19106916
444	19.18913759
445	19.18867051
446	19.18343907
447	19.18312069
448	19.1791464
449	19.17433261
450	19.16905243
451	19.16725283
452	19.16712468
453	19.16712392
454	19.16176573
455	19.15948953
456	19.15853266
457	19.15435574
458	19.15389804
459	19.15312816
460	19.1523495
461	19.14950986
462	19.14209185
463	19.14191286
464	19.14156711
465	19.1401897
466	19.13679175
467	19.13227232
468	19.12734498
469	19.12668997
470	19.12285311
471	19.12244866
472	19.12221799
473	19.12154245
474	19.11842899
475	19.11842767
476	19.11651178
477	19.11583545
478	19.11537557
479	19.11315226
480	19.11315167
481	19.10927356
482	19.10592773
483	19.10406627
484	19.10136634
485	19.09804518
486	19.09756781
487	19.09571213
488	19.09539828
489	19.09251297
490	19.09223518
491	19.09047129
492	19.09025096
493	19.08936399
494	19.08906075
495	19.0877654
496	19.07942493
497	19.07892348
498	19.07527967
499	19.07123708
