iter	RMSE
0	85.11113371
1	78.50073159
2	72.53740792
3	67.2668119
4	62.2719104
5	57.6497307
6	53.58543381
7	50.00678186
8	46.85572569
9	44.12969101
10	41.7466462
11	39.49628407
12	37.60557065
13	35.85014849
14	34.21656738
15	32.88817507
16	31.53245384
17	30.52361543
18	29.38111759
19	28.41023277
20	27.53953021
21	26.7624793
22	26.12634989
23	25.55828287
24	25.11689524
25	24.65752666
26	24.26411069
27	23.95322666
28	23.64302699
29	23.38748563
30	23.16824081
31	22.95751539
32	22.76809362
33	22.61631173
34	22.48369595
35	22.36894112
36	22.26502626
37	22.14698617
38	22.07064172
39	21.96690715
40	21.89979043
41	21.83952596
42	21.77184269
43	21.70042934
44	21.62805154
45	21.57101667
46	21.52112042
47	21.48529626
48	21.45030043
49	21.40945082
50	21.36384734
51	21.32250092
52	21.29580364
53	21.27092124
54	21.24715581
55	21.22928068
56	21.20789407
57	21.1746911
58	21.14633631
59	21.11499158
60	21.08969983
61	21.0726319
62	21.05480904
63	21.03492068
64	21.0201315
65	21.00229913
66	20.98851455
67	20.97449503
68	20.95869254
69	20.94746013
70	20.93581119
71	20.92630325
72	20.91592327
73	20.8981053
74	20.88581665
75	20.87430173
76	20.86273773
77	20.85290891
78	20.84607854
79	20.8359943
80	20.82674372
81	20.81834413
82	20.80769678
83	20.79624758
84	20.77425033
85	20.76737462
86	20.75449463
87	20.74786692
88	20.74154593
89	20.72483146
90	20.7174047
91	20.70669299
92	20.70007341
93	20.68900477
94	20.68271612
95	20.66939833
96	20.66027455
97	20.65638992
98	20.65206447
99	20.64868677
100	20.63887204
101	20.6232571
102	20.61317045
103	20.6042479
104	20.60147394
105	20.59638334
106	20.59248612
107	20.58965243
108	20.58630624
109	20.57668371
110	20.56989221
111	20.55820602
112	20.55525947
113	20.54201798
114	20.53327707
115	20.51867284
116	20.50490582
117	20.50138835
118	20.49891104
119	20.49180697
120	20.48967325
121	20.48424001
122	20.48120058
123	20.47916113
124	20.46060217
125	20.44748571
126	20.4436823
127	20.43921104
128	20.43260267
129	20.42025844
130	20.41216862
131	20.40999793
132	20.40806508
133	20.39803646
134	20.37912656
135	20.37332986
136	20.3636801
137	20.36082767
138	20.35550758
139	20.35316017
140	20.34923579
141	20.33948883
142	20.33537179
143	20.32947009
144	20.31538784
145	20.29927478
146	20.2945635
147	20.29299663
148	20.28576965
149	20.28367177
150	20.28187045
151	20.27701242
152	20.27557223
153	20.26299095
154	20.25092213
155	20.2399043
156	20.23613968
157	20.23136374
158	20.22814756
159	20.21730394
160	20.21317092
161	20.19917668
162	20.19663049
163	20.19496512
164	20.18617796
165	20.17483768
166	20.17171035
167	20.17031001
168	20.15684757
169	20.14769319
170	20.13337482
171	20.13083792
172	20.11831725
173	20.10950607
174	20.10771662
175	20.10362097
176	20.10250315
177	20.09008148
178	20.0791522
179	20.0772317
180	20.07491872
181	20.07348455
182	20.07014692
183	20.05821039
184	20.05687524
185	20.04785703
186	20.0404267
187	20.02583352
188	20.01803768
189	20.00971367
190	20.00852288
191	20.00092024
192	19.99275068
193	19.97905871
194	19.97362973
195	19.97143843
196	19.96356617
197	19.9618184
198	19.96062402
199	19.95950322
200	19.958651
201	19.94752133
202	19.94471188
203	19.94288249
204	19.93321997
205	19.92107947
206	19.91027891
207	19.90589203
208	19.90441051
209	19.90330599
210	19.90218098
211	19.90141713
212	19.90053607
213	19.89512058
214	19.88506503
215	19.87839883
216	19.86974437
